Nom de la commune;Code Postal;Département
AIGLEPIERRE;39110;JURA
AIGLEVILLE;27120;EURE
AIGLUN;04510;ALPES DE HAUTE PROVENCE
AIGLUN;06910;ALPES MARITIMES
AIGNAN;32290;GERS
AIGNAY LE DUC;21510;COTE D'OR
AIGNE;72650;SARTHE
AIGNE;34210;HERAULT
AIGNERVILLE;14710;CALVADOS
AIGNES;31550;HAUTE GARONNE
AIGNES ET PUYPEROUX;16190;CHARENTE
AIGNEVILLE;80210;SOMME
AIGNY;51150;MARNE
AIGONNAY;79370;DEUX SEVRES
AIGRE;16140;CHARENTE
AIGREFEUILLE;31280;HAUTE GARONNE
AIGREFEUILLE D AUNIS;17290;CHARENTE MARITIME
AIGREFEUILLE SUR MAINE;44140;LOIRE ATLANTIQUE
AIGREMONT;78240;YVELINES
AIGREMONT;30350;GARD
AIGREMONT;52400;HAUTE MARNE
AIGREMONT;89800;YONNE
AIGUEBELETTE LE LAC;73610;SAVOIE
AIGUEBELLE;73220;SAVOIE
AIGUEBLANCHE;73260;SAVOIE
AIGUEFONDE;81200;TARN
AIGUEPERSE;69790;RHONE
AIGUEPERSE;63260;PUY DE DOME
AIGUES JUNTES;09240;ARIEGE
AIGUES MORTES;30220;GARD
AIGUES VIVES;30670;GARD
AIGUES VIVES;09600;ARIEGE
AIGUES VIVES;11800;AUDE
AIGUES VIVES;34210;HERAULT
AIGUEZE;30760;GARD
AIGUILHE;43000;HAUTE LOIRE
AIGUILLES;05470;HAUTES ALPES
AIGUILLON;47190;LOT ET GARONNE
AIGUINES;83630;VAR
AIGURANDE;36140;INDRE
AILEFROIDE;05340;HAUTES ALPES
AILHON;07200;ARDECHE
AILLANT SUR MILLERON;45230;LOIRET
AILLANT SUR THOLON;89110;YONNE
AILLAS;33124;GIRONDE
AILLEUX;42130;LOIRE
AILLEVANS;70110;HAUTE SAONE
AILLEVILLE;10200;AUBE
AILLEVILLERS ET LYAUMONT;70320;HAUTE SAONE
AILLIANVILLE;52700;HAUTE MARNE
AILLIERES BEAUVOIR;72600;SARTHE
AILLON LE JEUNE;73340;SAVOIE
AILLON LE VIEUX;73340;SAVOIE
AILLONCOURT;70300;HAUTE SAONE
AILLY;27600;EURE
AILLY LE HAUT CLOCHER;80690;SOMME
AILLY SUR MEUSE;55300;MEUSE
AILLY SUR NOYE;80250;SOMME
AILLY SUR SOMME;80470;SOMME
AIMARGUES;30470;GARD
AIME;73210;SAVOIE
AINAC;04000;ALPES DE HAUTE PROVENCE
AINAY LE CHATEAU;03360;ALLIER
AINAY LE VIEIL;18200;CHER
AINCILLE;64220;PYRENEES ATLANTIQUES
AINCOURT;95510;VAL D'OISE
AINCREVILLE;55110;MEUSE
AINGERAY;54460;MEURTHE ET MOSELLE
AINGEVILLE;88140;VOSGES
AINGOULAINCOURT;52230;HAUTE MARNE
AINHARP;64130;PYRENEES ATLANTIQUES
AINHICE MONGELOS;64220;PYRENEES ATLANTIQUES
AINHOA;64250;PYRENEES ATLANTIQUES
AINVELLE;88320;VOSGES
AINVELLE;70800;HAUTE SAONE
AIRAINES;80270;SOMME
AIRAN;14370;CALVADOS
AIRE;08190;ARDENNES
AIRE SUR L ADOUR;40800;LANDES
AIRE SUR LA LYS;62120;PAS DE CALAIS
AIREL;50680;MANCHE
AIRION;60600;OISE
AIRON NOTRE DAME;62180;PAS DE CALAIS
AIRON ST VAAST;62180;PAS DE CALAIS
AIROUX;11320;AUDE
AIRVAULT;79600;DEUX SEVRES
AISEREY;21110;COTE D'OR
AISEY ET RICHECOURT;70500;HAUTE SAONE
AISEY SUR SEINE;21400;COTE D'OR
AISNE;85450;VENDEE
AISONVILLE ET BERNOVILLE;02110;AISNE
AISSEY;25360;DOUBS
AISY SOUS THIL;21390;COTE D'OR
AISY SUR ARMANCON;89390;YONNE
AITI;20244;CORSE
AITON;73220;SAVOIE
AIX;19200;CORREZE
AIX;59310;NORD
AIX EN DIOIS;26150;DROME
AIX EN ERGNY;62650;PAS DE CALAIS
AIX EN ISSART;62170;PAS DE CALAIS
AIX EN OTHE;10160;AUBE
AIX EN PROVENCE;13100;BOUCHES DU RHONE
AIX EN PROVENCE;13090;BOUCHES DU RHONE
AIX LA FAYETTE;63980;PUY DE DOME
AIX LES BAINS;73100;SAVOIE
AIX NOULETTE;62160;PAS DE CALAIS
AIXE SUR VIENNE;87700;HAUTE VIENNE
AIZAC;07530;ARDECHE
AIZANVILLE;52120;HAUTE MARNE
AIZE;36150;INDRE
AIZECOURT LE BAS;80240;SOMME
AIZECOURT LE HAUT;80200;SOMME
AIZECQ;16700;CHARENTE
AIZELLES;02820;AISNE
AIZENAY;85190;VENDEE
AIZIER;27500;EURE
AIZY JOUY;02370;AISNE
AJAC;11300;AUDE
AJACCIO;20090;CORSE
AJACCIO;20000;CORSE
AJAIN;23380;CREUSE
AJAT;24210;DORDOGNE
AJIOLA;20243;CORSE
AJONCOURT;57590;MOSELLE
AJOU;27410;EURE
AJOUX;07000;ARDECHE
ALAIGNE;11240;AUDE
ALAINCOURT;70210;HAUTE SAONE
ALAINCOURT;02240;AISNE
ALAINCOURT LA COTE;57590;MOSELLE
ALAIRAC;11290;AUDE
ALAISE;25330;DOUBS
ALAN;31420;HAUTE GARONNE
ALANDO;20212;CORSE
ALATA;20167;CORSE
ALBA LA ROMAINE;07400;ARDECHE
ALBAN;81250;TARN
ALBARET LE COMTAL;48310;LOZERE
ALBARET STE MARIE;48200;LOZERE
ALBAS;46140;LOT
ALBAS;11360;AUDE
ALBE;67220;BAS RHIN
ALBEFEUILLE LAGARDE;82290;TARN ET GARONNE
ALBENS;73410;SAVOIE
ALBEPIERRE BREDONS;15300;CANTAL
ALBERT;80300;SOMME
ALBERTACCE;20224;CORSE
ALBERTVILLE;73200;SAVOIE
ALBESTROFF;57670;MOSELLE
ALBI;81990;TARN
ALBI;81000;TARN
ALBIAC;46500;LOT
ALBIAC;31460;HAUTE GARONNE
ALBIAS;82350;TARN ET GARONNE
ALBIERES;11330;AUDE
ALBIES;09310;ARIEGE
ALBIEZ LE JEUNE;73300;SAVOIE
ALBIEZ MONTROND;73300;SAVOIE
ALBIEZ MONTROND;73530;SAVOIE
ALBIGNAC;19190;CORREZE
ALBIGNY SUR SAONE;69250;RHONE
ALBINE;81240;TARN
ALBIOSC;04550;ALPES DE HAUTE PROVENCE
ALBITRECCIA;20128;CORSE
ALBON;26140;DROME
ALBON;07190;ARDECHE
ALBOUSSIERE;07440;ARDECHE
ALBUSSAC;19380;CORREZE
ALBY SUR CHERAN;74540;HAUTE SAVOIE
ALCAY ALCABEHETY SUNHARET;64470;PYRENEES ATLANTIQUES
ALDUDES;64430;PYRENEES ATLANTIQUES
ALEMBON;62850;PAS DE CALAIS
ALENCON;61000;ORNE
ALENYA;66200;PYRENEES ORIENTALES
ALERIA;20270;CORSE
ALES;30100;GARD
ALET LES BAINS;11580;AUDE
ALETTE;62650;PAS DE CALAIS
ALEU;09320;ARIEGE
ALEX;74290;HAUTE SAVOIE
ALEXAIN;53240;MAYENNE
ALEYRAC;26770;DROME
ALFORTVILLE;94140;VAL DE MARNE
ALGAJOLA;20220;CORSE
ALGANS;81470;TARN
ALGOLSHEIM;68600;HAUT RHIN
ALGRANGE;57440;MOSELLE
ALIEZE;39270;JURA
ALIGNAN DU VENT;34290;HERAULT
ALINCOURT;08310;ARDENNES
ALINCTHUN;62142;PAS DE CALAIS
ALISE STE REINE;21150;COTE D'OR
ALISSAS;07210;ARDECHE
ALISTRO;20230;CORSE
ALIX;69380;RHONE
ALIXAN;26300;DROME
ALIZAY;27460;EURE
ALLAIN;54170;MEURTHE ET MOSELLE
ALLAINES;80200;SOMME
ALLAINES MERVILLIERS;28310;EURE ET LOIR
ALLAINVILLE;28500;EURE ET LOIR
ALLAINVILLE;78660;YVELINES
ALLAINVILLE EN BEAUCE;45480;LOIRET
ALLAIRE;56350;MORBIHAN
ALLAMONT;54800;MEURTHE ET MOSELLE
ALLAMPS;54112;MEURTHE ET MOSELLE
ALLAN;26780;DROME
ALLANCHE;15160;CANTAL
ALLAND HUY ET SAUSSEUIL;08130;ARDENNES
ALLARMONT;88110;VOSGES
ALLAS BOCAGE;17150;CHARENTE MARITIME
ALLAS CHAMPAGNE;17500;CHARENTE MARITIME
ALLAS LES MINES;24220;DORDOGNE
ALLASSAC;19240;CORREZE
ALLAUCH;13190;BOUCHES DU RHONE
ALLEGRE;30500;GARD
ALLEGRE;43270;HAUTE LOIRE
ALLEINS;13980;BOUCHES DU RHONE
ALLEMAGNE EN PROVENCE;04550;ALPES DE HAUTE PROVENCE
ALLEMANCHE LAUNAY ET SOYE;51260;MARNE
ALLEMANS;24600;DORDOGNE
ALLEMANS DU DROPT;47800;LOT ET GARONNE
ALLEMANT;02320;AISNE
ALLEMANT;51120;MARNE
ALLEMOND;38114;ISERE
ALLENAY;80530;SOMME
ALLENC;48190;LOZERE
ALLENJOIE;25490;DOUBS
ALLENNES LES MARAIS;59251;NORD
ALLENWILLER;67310;BAS RHIN
